title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
Concentration Curls (Resistance Band),/exercise/65,https://app.strength.muscleandmotion.com/exercise/65,Biceps Brachii,Brachialis; Brachioradialis; Pronator Teres,Erector Spinae; Levator Scapulae; Trapezius; Rhomboid Muscles; Wrist Flexors; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,,Resistance Band
Consecutive Broad Jumps,/exercise/739,https://app.strength.muscleandmotion.com/exercise/739,Quadriceps Femoris; Gluteus Maximus; Gastrocnemius; Iliacus; Psoas Major,Hamstrings; Soleus; Flexor Hallucis Longus; Flexor Digitorum Longus; Tibialis Posterior; Sartorius; Tensor Fasciae Latae; Anterior Deltoid,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,"Stand with feet hip-width apart. Descend to a partial squat position with the torso leaning forward and the arms gathered behind the body. On landing, absorb the forces progressively through the feet, ankles, knees, hips, and back, and from a squat position continue to the next broad jump.",
Contralateral Load Reverse Lunge (Sandbag),/exercise/930,https://app.strength.muscleandmotion.com/exercise/930,Gluteus Maximus; Quadriceps Femoris,Hamstrings; Gastrocnemius; Soleus,Erector Spinae; Transversus Abdominis; External Oblique; Internal Oblique; Quadratus Lumborum,"Take a big step backward, bend the knees until the back knee gently touches the floor and then return to the starting position.",Sandbag
Contralateral Load Split Squat (Sandbag),/exercise/1252,https://app.strength.muscleandmotion.com/exercise/1252,Gluteus Maximus; Quadriceps Femoris,Hamstrings; Gastrocnemius; Soleus; Adductor Magnus,Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Diaphragm; Gluteus Medius; Gluteus Minimus,"Place the sandbag on the top of your shoulder and stand with one leg forward and the other leg backward. The front leg’s foot is spread flat on the ground, and the heel of the back leg is suspended in the air. Bend both knees until the rear knee lightly touches the ground, and then we return back to full leg extension. Be sure that the knee doesn’t exceed the line of the foot when bent.",Sandbag
Copenhagen Hip Adduction,/exercise/1054,https://app.strength.muscleandmotion.com/exercise/1054,Hip Adductor Muscles; External Oblique; Internal Oblique,Quadratus Lumborum (Respiration),External Oblique; Hip Adductor Muscles; Quadratus Lumborum; Serratus Anterior; Deltoid,"Performing the Copenhagen adductor exercise requires a partner to hold the trainee’s knee and ankle or the use of a high chair for support. The trainee is supported on the elbow in a side plank position. From this position, raise the pelvis and bring the lower leg slowly to the upper leg and back. The adductor muscles of both legs are active, but the higher load is on the upper leg, which supports most of the body weight. The lower leg has only to raise its own weight. 2. Ishøi L, Sørensen CN, Kaae NM, et al. Large eccentric strength increase using the Copenhagen Adduction exercise in football: A randomized controlled trial. Scand J Med Sci Sports. 2016 Nov;26(11):1334-1342.",
Core Rolling (Stability Ball),/exercise/1045,https://app.strength.muscleandmotion.com/exercise/1045,Erector Spinae; Gluteus Maximus; Abdominal Muscles; Pelvic Diaphragm; Diaphragm,Hamstrings; Multifidus; Quadriceps Femoris,,,Stability Ball
Correcting the SLDL Deadlift with Mike Boyle,/exercise/597,https://app.strength.muscleandmotion.com/exercise/597,Gluteus Maximus; Hamstrings,Hamstrings; Adductor Magnus,Erector Spinae; Abdominal Muscles; Diaphragm; Gluteus Medius; Pelvic Diaphragm; Gluteus Minimus,Correcting The Single Leg Dead Lift A unique cooperation between Mike Boyle and Muscle&Motion brings you unique video content to further your education and understanding of functional training.,
Cossack Squat,/exercise/898,https://app.strength.muscleandmotion.com/exercise/898,Quadriceps Femoris; Gluteus Maximus,Gastrocnemius; Gluteus Medius,Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Diaphragm,"It’s an exercise that pushes the muscles to contract at the end of the joint’s range of motion. Stand up in a wide straddle, shift your weight to one leg and go down into a dip knee bend. Keep the other leg straight and simultaneously point your toes up so only the heel stays on the ground. Push through the left foot and go over to the other side. You don’t need to stand all the way up between every repetition.",
Crab Walk,/exercise/1310,https://app.strength.muscleandmotion.com/exercise/1310,Erector Spinae; Gluteus Maximus; Upper Trapezius; Middle Trapezius; Lower Trapezius,Hamstrings; Quadriceps Femoris; Rhomboid Muscles; Suboccipital Muscles,Triceps Brachii; Gluteus Medius; Gluteus Minimus; Abdominal Muscles,"The Crab Walk is a bodyweight exercise that strengthens the posterior chain muscles, especially the upper back and core muscles. Start by sitting on the floor with your feet in front of you and your arms behind your back, with your fingers facing your hips. Lift your hips off the floor and engage your core.",Bodyweight
Cross Body Shoulder Stretch,/exercise/79,https://app.strength.muscleandmotion.com/exercise/79,,,,"Bring your arm across your chest. Use your other hand to pull the right hand around the left side of the body To get the maximum benefit during the stretch, extend the thoracic spine (open your chest outward and up),",
Cross Walk (Kettlebell),/exercise/1231,https://app.strength.muscleandmotion.com/exercise/1231,Abdominal Muscles; Erector Spinae; Deltoid; Trapezius; Subscapularis; Infraspinatus; Gluteus Maximus; Gluteus Medius; Quadriceps Femoris; Wrist Flexors,Quadratus Lumborum,Transversus Abdominis; Lower Trapezius; Triceps Brachii; Hamstrings; Serratus Anterior; Biceps Brachii,"The Kettlebell Cross Walk is a carry-based exercise that strengthens your core, shoulder and leg muscles, and improves grip strength. Start by holding two Kettlebells – one in each hand - and press one kettlebell over your head. While in this position, begin to walk forward in small steps and maintain neutral spine alignment. Switch hands and repeat.",Kettlebell
Crossing Balance Lunge (Straps),/exercise/69,https://app.strength.muscleandmotion.com/exercise/69,Quadriceps Femoris; Gluteus Maximus,Adductor Magnus; Soleus; Hamstrings; Gastrocnemius,Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Hip Adductor Muscles; Levator Scapulae; Upper Trapezius; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,,Straps
Crossover Fly (Cable),/exercise/70,https://app.strength.muscleandmotion.com/exercise/70,"Pectoralis Major, Sternal Head; Pectoralis Major, Costal Head","Anterior Deltoid; Serratus Anterior; Coracobrachialis; Biceps Brachii, long head; Pectoralis Major; Pectoralis Major, Clavicular Head",Wrist Flexors; Abdominal Muscles; Biceps Brachii; Brachialis; Brachioradialis,The target muscle is the pectoralis major (colored red). The sternocostal head is dominant in this position. The abdominals stabilize and hold the torso.,Cable
Crossover Push-up (Medicine Ball),/exercise/551,https://app.strength.muscleandmotion.com/exercise/551,"Anterior Deltoid; Triceps Brachii; Pectoralis Major, Sternal Head",Serratus Anterior; Triceps Brachii,Abdominal Muscles; Sartorius,Crossover Push-ups (medicine-ball) The crossover push-up on the medicine ball is an intermediate upper body exercise. This is a challenging exercise that targets the pectoralis major and core muscles. Perform a push-up and then transfer your hands across the ball so that you are in the same starting position but on the other side of the ball.,Medicine-Ball
Crossover Step-up,/exercise/1153,https://app.strength.muscleandmotion.com/exercise/1153,Gluteus Maximus; Quadriceps Femoris,Gluteus Medius; Gluteus Minimus; Tensor Fasciae Latae; Soleus; Gastrocnemius; Hamstrings,Erector Spinae; Quadratus Lumborum (Respiration); Transversus Abdominis; Diaphragm; Pelvic Diaphragm,"Stand next to a box and place your outer foot on the box. Push yourself up and stand on the box. Then, go back down in a cross while keeping the same foot on the box. Think about keeping your hips square throughout the exercise and your chest facing forward. The Gluteus Maximus and Gluteus Medius musculature extensively contribute to weight-bearing movements by supplying local structural stability to the hip joint and maintaining lower extremity alignment of the hip and knee joints. Performance deficiency in these selected hip muscles is linked to lower extremity pathology. 1. Simenz, C. J., Garceau, L. R., Lutsch, B. N., Suchomel, T. J., & Ebben, W. P. (2012). Electromyographical analysis of lower extremity muscle activation during variations of the loaded step-up exercise. Journal of Strength and Conditioning Research, 26(12), 3398–3405.",
Crunch with Hip Flexion,/exercise/575,https://app.strength.muscleandmotion.com/exercise/575,Psoas Major; Iliacus; Rectus Abdominis,Sartorius; Tensor Fasciae Latae; External Oblique; Internal Oblique,Abdominal Muscles,An exercise intended to strengthen the core muscles with an emphasis on the abdominal muscles and hip flexors.,
"Crunch, Hands (Straps)",/exercise/71,https://app.strength.muscleandmotion.com/exercise/71,Rectus Abdominis; External Oblique; Transversus Abdominis; Erector Spinae,Multifidus; Diaphragm; Pelvic Diaphragm; Psoas Major,Triceps Brachii; Quadriceps Femoris; Serratus Anterior,"Hip flexion is performed by the hip flexors, and the abdominal muscles add back flexion, with the knees moving toward the chest.",Straps
Curtsy Lunge,/exercise/1445,https://app.strength.muscleandmotion.com/exercise/1445,Gluteus Maximus; Quadriceps Femoris,Gluteus Medius; Gluteus Minimus; Hip External Rotators (Deep Layer); Gastrocnemius; Soleus; Hamstrings,Abdominal Muscles; Erector Spinae,"The Curtsy Lunge is a rear lunge variation in which the back leg steps behind and across the front leg, creating a diagonal movement pattern that increases glute activation and challenges hip stability. Step one leg diagonally behind and across the other, lowering your body into a lunge position. Keep your torso upright and ensure your front knee stays aligned with your foot. Push through the heel of the front leg to return to the starting position. Alternate sides with each rep for the desired number of repetitions.",
Cyclist Front Squat (Barbell),/exercise/1009,https://app.strength.muscleandmotion.com/exercise/1009,Quadriceps Femoris; Gluteus Maximus,Hamstrings; Gastrocnemius; Soleus,Erector Spinae; Abdominal Muscles; Pelvic Diaphragm; Diaphragm; Deltoid; Trapezius,,Barbell
Cyclist Goblet Squat (Kettlebell),/exercise/1008,https://app.strength.muscleandmotion.com/exercise/1008,Quadriceps Femoris; Gluteus Maximus,Hamstrings; Gastrocnemius; Soleus,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,,Kettlebell
Cyclist Squat (Barbell),/exercise/1010,https://app.strength.muscleandmotion.com/exercise/1010,Quadriceps Femoris; Gluteus Maximus,Hamstrings; Adductor Magnus; Gastrocnemius; Soleus,Erector Spinae; Abdominal Muscles; Pelvic Diaphragm; Diaphragm; Trapezius,,Barbell
Dead Bug (Sandbag),/exercise/933,https://app.strength.muscleandmotion.com/exercise/933,Abdominal Muscles; Psoas Major; Iliacus,Sartorius; Tensor Fasciae Latae,Abdominal Muscles,"Let's lie on our back and hold a Sandbag over the head with straight arms. Now, raise both legs 90 degrees (you can lift one at a time or both at the same time) and actively flatten the lower back on the floor. Slowly lower one leg toward the floor while straightening the knee and hold the other leg up in the air. Then bring the leg back to 90 degrees and lower the second leg toward the ground. It's important to push the lower back into the floor throughout the exercise to prevent pressure on the vertebras.",Sandbag
Dead Hangs,/exercise/1362,https://app.strength.muscleandmotion.com/exercise/1362,,Abdominal Muscles,,"Dead Hangs, also known as a dead hanging, is a static hold that enhances grip strength and shoulder mobility while stretching specific muscles in the back and improving overhead shoulder mobility. Start by standing directly underneath the pull-up bar with your feet shoulder-width apart. Reach up and grab the bar with an overhand grip, palms facing away from you. Your hands should be slightly wider than shoulder-width apart. Allow your body to hang freely, keeping your arms extended. Relax your shoulders and engage your core muscles to maintain a straight body position. Hold the position for the required time.",
Deadlift (Barbell),/exercise/72,https://app.strength.muscleandmotion.com/exercise/72,Gluteus Maximus,Quadriceps Femoris; Adductor Magnus; Soleus; Hamstrings; Gastrocnemius; Hip External Rotators (Deep Layer),Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Hip Adductor Muscles; Levator Scapulae; Upper Trapezius; Abdominal Muscles; Spinalis,"Starting position: The bar is above the feet, close to the shin bone. The shoulders are slightly in front of the bar. Pulling the bar close to the body requires assistance and stabilization by the latissimus dorsi. Keep the core muscles activated and the back straight. The deadlift can be divided into two stages. The first stage: Lifting the bar to knee level. The trunk remains in a forward-leaning position.",Barbell
Decline Bench Press (Dumbbell),/exercise/75,https://app.strength.muscleandmotion.com/exercise/75,"Pectoralis Major, Costal Head","Pectoralis Major, Sternal Head; Pectoralis Major; Anterior Deltoid; Triceps Brachii; Serratus Anterior; Coracobrachialis; Biceps Brachii, long head",Abdominal Muscles; Hamstrings; Subscapularis; Infraspinatus; Teres Minor; Supraspinatus,"In the decline bench press, the lower pectoralis major is dominant.",Bench; Dumbbell
Decline Bench Press(Barbell),/exercise/74,https://app.strength.muscleandmotion.com/exercise/74,"Pectoralis Major, Costal Head","Anterior Deltoid; Triceps Brachii; Serratus Anterior; Coracobrachialis; Biceps Brachii, long head",Abdominal Muscles,"Bench Press, Decline (Barbell) In the decline chest press, the lower pectoralis major is dominant.",Barbell; Bench
Decline Crunches (Machine),/exercise/77,https://app.strength.muscleandmotion.com/exercise/77,Rectus Abdominis,External Oblique; Internal Oblique,Pelvic Diaphragm; Transversus Abdominis; Iliacus; Psoas Major,"The target muscles are the abdominal muscles. All four of them are active but the focus of this exercise is on the rectus abdominis (red). The obliques (pink) assist in flexion, and the transverse is pulled slightly inward to maintain intra-abdominal pressure.",Machine
Decline Crunches (Weight Plate),/exercise/76,https://app.strength.muscleandmotion.com/exercise/76,Rectus Abdominis,External Oblique; Internal Oblique,Pelvic Diaphragm; Transversus Abdominis; Hamstrings; Iliacus,"The target muscles are the abdominal muscles. All four of them are active but the focus of this exercise is on the rectus abdominis (red). The obliques (pink) assist in flexion, and the transverse is pulled slightly inward to maintain intra-abdominal pressure.",
Decline Flys (Cable),/exercise/46,https://app.strength.muscleandmotion.com/exercise/46,"Pectoralis Major, Costal Head; Pectoralis Major, Sternal Head",Anterior Deltoid; Serratus Anterior; Coracobrachialis,Abdominal Muscles; Biceps Brachii; Brachialis; Brachioradialis; Wrist Flexors,The direction of the hand movement is toward the lower fibers. The abdominals and other core muscles stabilize and hold the torso.,Cable
Decline Sit-up,/exercise/600,https://app.strength.muscleandmotion.com/exercise/600,Psoas Major; Iliacus; Abdominal Muscles,Sartorius; Tensor Fasciae Latae,Abdominal Muscles; Pelvic Diaphragm; Transversus Abdominis,Sit on a decline bench with bent knees and your feet under the padded bar. Lift your torso up to bring your chest to your thighs. Slowly lower your torso back to the starting position and repeat.,Bench
Deep Full Squat (Barbell),/exercise/322,https://app.strength.muscleandmotion.com/exercise/322,Quadriceps Femoris; Gluteus Maximus,Hip Adductor Muscles; Soleus; Hamstrings; Gastrocnemius; Adductor Magnus,Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Upper Trapezius; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm; Piriformis (Hip Rotators) (3); Quadratus Femoris (Hip Rotators) (4); Hip Adductor Muscles; Levator Scapulae,"Stand with your feet a little wider than shoulder-width, toes pointed slightly outward, and a barbell on the upper part of your shoulder blades. Lower your body down as far as you can, making sure your heels don’t disconnect from the ground and push yourself back up to the starting position. Keep your back straight and chest elevated at all times.",Barbell
Deep Squat with Spinal Flexion Stretch,/exercise/1365,https://app.strength.muscleandmotion.com/exercise/1365,,,,"The Deep Squat with Spinal Flexion Stretch stretches the majority of the posterior chain muscles while maintaining a deep squat position. Start by standing with your feet positioned shoulder-width apart. Lower yourself into a deep squat while keeping your feet grounded. Once in a deep squat position, place your hands behind your head. Flex your neck and spine, bringing your elbows toward the ground. Maintain this position for the desired duration of the stretch. Repeat the exercise as needed.",
Deficit Bulgarian Split Squat,/exercise/718,https://app.strength.muscleandmotion.com/exercise/718,Quadriceps Femoris; Gluteus Maximus,Hamstrings; Gastrocnemius; Soleus,Erector Spinae; Gluteus Medius; Gluteus Minimus; Abdominal Muscles; Hip Adductor Muscles; Diaphragm; Pelvic Diaphragm,"Holding two Dumbbells position your non-working foot on the bench in a rear lunge position with your shoelaces facing downwards. While keeping the torso mostly upright, descend under control until your knee lightly touches the pad.",Bench; Dumbbell
Deficit Bulgarian Split Squat (Kettlebell),/exercise/1205,https://app.strength.muscleandmotion.com/exercise/1205,Gluteus Maximus; Quadriceps Femoris,Hamstrings; Gluteus Medius; Tensor Fasciae Latae; Gluteus Minimus; Gastrocnemius; Soleus,Erector Spinae; Transversus Abdominis; Abdominal Muscles; Gluteus Medius,"Hold two kettlebells and position your non-working foot on the bench in a rear lunge position with your shoelaces facing downwards. Most of the weight should be kept over the front foot (around 80%), with the additional weight on the back foot (about 20%). While keeping the torso mostly upright, descend with control until your knee lightly touches the pad.",Bench; Kettlebell
Deficit Bulgarian Split Squat (Sandbag),/exercise/908,https://app.strength.muscleandmotion.com/exercise/908,Gluteus Maximus; Quadriceps Femoris,Gastrocnemius; Soleus; Hamstrings; Adductor Magnus,Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Diaphragm; Gluteus Medius,"Place a Sandbag on the back of your shoulders, extend the leg backward and place the top of the back foot on a bench. Most of the weight should be kept over the front foot (around 80%), with the additional weight on the back foot (around 20%). Keep the torso mostly upright, control the lowering of the body until your knee lightly touches the pad. Repeat as many times as you’d like and then switch legs.",Bench; Sandbag
Depth Jump,/exercise/724,https://app.strength.muscleandmotion.com/exercise/724,Quadriceps Femoris; Gluteus Maximus; Gastrocnemius,Hamstrings; Soleus; Flexor Hallucis Longus; Flexor Digitorum Longus; Tibialis Posterior,Erector Spinae; Abdominal Muscles; Pelvic Diaphragm; Diaphragm,Stand on a low box. Step off the box and land on the ground with both feet. As soon you touch the ground jump up to the higher box. Use this plyometric exercise to improve the explosive and reactive properties of your legs. Reactive jump demonstrates an athlete’s ability to rapidly change from an eccentric motion into a concentric muscular contraction and is an expression of their dynamic explosive vertical jump capacity.,
Depth Jumps Into Hurdle Jump,/exercise/742,https://app.strength.muscleandmotion.com/exercise/742,Gastrocnemius; Quadriceps Femoris; Gluteus Maximus; Psoas Major; Iliacus,Hamstrings; Soleus; Flexor Hallucis Longus; Flexor Digitorum Longus; Tibialis Posterior; Sartorius; Tensor Fasciae Latae; Anterior Deltoid; Middle Deltoid,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,"Stand on a low plate. Step off the plate and land on the ground with both feet. As soon you touch the ground, jump up over a hurdle. Use this plyometric exercise to improve the explosive and reactive properties of your legs. Reactive jumps demonstrate an athlete’s ability to rapidly change from an eccentric motion to a concentric muscular contraction and are an expression of dynamic explosive vertical jump capacity.",Hurdle
Diagonal Chop and Lift (Medicine Ball),/exercise/505,https://app.strength.muscleandmotion.com/exercise/505,Gluteus Maximus; Quadriceps Femoris; External Oblique; Deltoid,Hamstrings; Internal Oblique; Rotatores; Gastrocnemius; Upper Trapezius; Lower Trapezius,Abdominal Muscles; Erector Spinae; Transversospinales Muscles,Diagonal Chop and Lift (Medicine-Ball) Lifting the medicine ball to the upper opposite side challenges the core muscles and hip joint mobility.,Medicine-Ball
Diagonal Lifting (Cable),/exercise/576,https://app.strength.muscleandmotion.com/exercise/576,External Oblique; Internal Oblique; Erector Spinae; Pectoralis Major,Triceps Brachii; Deltoid; Serratus Anterior; Rotatores; Anterior Deltoid,Abdominal Muscles; Erector Spinae; Diaphragm; Transversospinales Muscles; Pelvic Diaphragm; Gluteus Maximus; Adductor Longus; Gluteus Medius; Tensor Fasciae Latae,"Diagonal Lifting (Resistance band bar) The Lift pattern represents distinct spiral and diagonal movements that mimic functional patterns occurring in both sport and activities of daily living” (Voight, et al., 2008.)",Cable; Resistance Band
Diamond Push-up (Bodyweight),/exercise/675,https://app.strength.muscleandmotion.com/exercise/675,Triceps Brachii; Anterior Deltoid,"Serratus Anterior; Anconeus; Pectoralis Major, Clavicular Head",Abdominal Muscles; Transversospinales Muscles; Intersegmental Muscles; Quadriceps Femoris; Iliacus; Psoas Major,"Diamond, Triangle Push-up (Bodyweight) Get into the standard pushup position with your hands together directly beneath your chest so that index fingers and thumbs are touching to form a triangle or ""diamond"" shape. Keeping your core tight, slowly lower your body to the ground.",Bodyweight
Dip Triceps (Machine),/exercise/80,https://app.strength.muscleandmotion.com/exercise/80,Triceps Brachii,Pectoralis Major; Anterior Deltoid; Latissimus Dorsi; Lower Trapezius; Anconeus,Abdominal Muscles; Serratus Anterior; Subscapularis; Infraspinatus; Teres Minor,"Sit on a chair and place your hands on the handles. Push the handles down until the arms fully extend and bend them back. This exercise is similar to the classic Parallettes exercise, and in addition, it also includes a movement resembling the Pushdown exercise. Thus, it focuses the load on the Triceps more than on the Pectoral muscles or Anterior Deltoid.",Machine; Parallettes
Dips,/exercise/377,https://app.strength.muscleandmotion.com/exercise/377,"Pectoralis Major, Costal Head; Triceps Brachii; Anterior Deltoid","Latissimus Dorsi; Anconeus; Coracobrachialis; Pectoralis Major, Sternal Head; Serratus Anterior",Abdominal Muscles; Serratus Anterior; Subscapularis; Infraspinatus; Teres Minor; Lower Trapezius; Wrist Extensors; Wrist Flexors,"The Dips is a bodyweight exercise intended to strengthen your chest and shoulder muscles. Start by placing your hand on parallel bars and lift your legs from the ground. Lift yourself up, keeping your arms slightly bent. Lower your body by bending your elbows until your chest reaches the height of the bars. Push up to the starting position while extending your elbow. Repeat for the desired number of repetitions.",Bodyweight
Dips (Parallettes),/exercise/983,https://app.strength.muscleandmotion.com/exercise/983,"Triceps Brachii; Anterior Deltoid; Pectoralis Major, Costal Head","Serratus Anterior; Pectoralis Major, Sternal Head; Latissimus Dorsi",Lower Trapezius; Teres Minor; Infraspinatus; Wrist Extensors; Wrist Flexors; Abdominal Muscles,"The Dips exercise on Parallettes is meant to strengthen the chest muscles, Anterior Deltoid, and Triceps Brachii. Begin with your elbows locked out and feet on the ground. Lower your hips toward the floor by bending the elbows, then press back up.",Parallettes
Dips (Rings),/exercise/1219,https://app.strength.muscleandmotion.com/exercise/1219,"Anterior Deltoid; Triceps Brachii; Pectoralis Major, Costal Head","Latissimus Dorsi; Teres Major; Pectoralis Major, Sternal Head; Serratus Anterior; Coracobrachialis",Rectus Abdominis; Pectoralis Minor; Lower Trapezius; Infraspinatus; Teres Minor; Wrist Extensors; Wrist Flexors,"It is a great exercise that works the chest muscles and requires a high level of movement control. Start by holding a set of gymnastic rings. Begin to bend your elbows while keeping your shoulders pressed down. As you lower your body, flex your elbows, and let your chest move forward slightly until your shoulder almost touches your hands. Now press your body back up to the starting position.",
Donkey kick (Resistance Band on foot),/exercise/140,https://app.strength.muscleandmotion.com/exercise/140,Gluteus Maximus,Biceps Femoris Long Head (Hamstring) (4); Semitendinosus (Hamstring) (2); Semimembranosus (Hamstring) (1); Adductor Magnus,Abdominal Muscles; Gastrocnemius; Triceps Brachii; Anterior Deltoid,Place a resistance band on your foot and hold the other end of it in your hands. Extend your leg backward until it is in a straight line with your torso. Slowly and with control bring your leg back to the starting position and repeat for the required number of repetitions.,Resistance Band
Donkey Kick (Resistance Band),/exercise/1170,https://app.strength.muscleandmotion.com/exercise/1170,Gluteus Maximus,Hamstrings,Abdominal Muscles; Pelvic Diaphragm; Multifidus; Erector Spinae; Serratus Anterior; Triceps Brachii; Gluteus Medius,Push your right leg up while keeping the foot flexed and the knees bent. Hold for 2-3 seconds and return to starting position.,Resistance Band
Double Kettlebell Deadlift,/exercise/1201,https://app.strength.muscleandmotion.com/exercise/1201,Gluteus Maximus; Quadriceps Femoris; Erector Spinae,Hamstrings; Gastrocnemius; Soleus; Gluteus Medius; Gluteus Minimus,Trapezius; Rhomboid Muscles; Transversus Abdominis,"The Double Kettlebell Deadlift is a dynamic exercise designed to strengthen your posterior chain muscles. Start by standing with your feet shoulder-width apart, with a kettlebell placed on the ground on the outside of each foot. Hinge forward at your hips, slightly bending the knees, keep the core muscles activated and the back straight. Grab a kettlebell in each hand and fully extend your hip and knee until you're standing straight. Slowly start to flex your knee and hip, and lower the Kettlebells back to the starting position.",Kettlebell
Double Unders,/exercise/806,https://app.strength.muscleandmotion.com/exercise/806,Gastrocnemius; Quadriceps Femoris,Soleus; Gluteus Maximus,Gluteus Maximus; Erector Spinae; Abdominal Muscles; Pelvic Diaphragm; Diaphragm,Jumping rope can increase the elasticity and resiliency of lower-leg muscles.,
Double Wave (Battle Rope),/exercise/599,https://app.strength.muscleandmotion.com/exercise/599,Abdominal Muscles; Erector Spinae; Gluteus Maximus; Anterior Deltoid; Latissimus Dorsi,"Trapezius; Biceps Brachii; Pectoralis Major, Costal Head; Teres Major; Hamstrings",Abdominal Muscles; Erector Spinae; Diaphragm; Pelvic Diaphragm; Quadriceps Femoris,,Battle Rope
Dowel Pullover,/exercise/1410,https://app.strength.muscleandmotion.com/exercise/1410,,Rhomboid Muscles; Trapezius,,"The Dowel Pullover is a shoulder mobility warm-up exercise that can be done lightly prior to your upper body workouts or activities. Take a broomstick or a dowel and grip it with your hands placed wider than the width of your shoulders, using an overhand grip. Lift it above your head and then lower it behind your back. Gradually reverse the motion and do it again. To make the exercise more challenging, reduce the distance between your hands.",
Downward-Facing Dog (Adho Mukha Svanasana),/exercise/81,https://app.strength.muscleandmotion.com/exercise/81,Deltoid; Triceps Brachii; Upper Trapezius,,Deltoid; Triceps Brachii; Upper Trapezius; Abdominal Muscles; Serratus Anterior,"The dog pose is one of the basic yoga positions It elongates the legs and back and it strengthens the shoulder girdle. This is a movement we encounter in almost every yoga lesson. For those practicing yoga, the dog pose is like a ""home"" to return to in every exercise and it changes and evolves as we progress in our practice.",
Drag Curl (Barbell),/exercise/967,https://app.strength.muscleandmotion.com/exercise/967,Biceps Brachii,Brachioradialis; Brachialis; Posterior Deltoid,Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Diaphragm,"With the elbows kept back, the Barbell is being “dragged"" up the torso. Grasp the bar at shoulder width in an underhand grip and keep the bar is in contact with the body at all times. From a biomechanical point of view, pulling the elbow backward affects both the load on the muscle and the muscle length. See the next video.",Barbell
Drag Curl (Dumbbell),/exercise/968,https://app.strength.muscleandmotion.com/exercise/968,Biceps Brachii,Brachialis; Brachioradialis; Posterior Deltoid,Erector Spinae; Transversus Abdominis,"With the elbows kept back, the Dumbbells are being dragged up the torso. Pulling the elbow backward affects the load on the muscle and the muscle’s length.",Dumbbell
Dragon Flag,/exercise/817,https://app.strength.muscleandmotion.com/exercise/817,Latissimus Dorsi; Rectus Abdominis,Pectoralis Major; Teres Major; Posterior Deltoid; External Oblique; Internal Oblique,Psoas Major; Iliacus; Sartorius; Triceps Brachii,"Get into proper position by locking your arms in a fixed overhead position. Lift your legs up into the air with your feet, legs, and torso sturdy and in a straight line. Only your upper back should be on the floor with all your weight on your shoulders and upper back. Keeping that straight line, slowly lower your body back down until it’s hovering parallel to the ground. Remain controlled in order to avoid arching your back. Then, raise your legs back up and repeat.",
Dynamic Mobility Mountain Climber,/exercise/1312,https://app.strength.muscleandmotion.com/exercise/1312,,,Serratus Anterior; Pectoralis Major (Respiration); Triceps Brachii; Anterior Deltoid; Splenius Capitis & Cervicis,"Start in a plank position. Then, bring one leg forward, placing your foot to the outside of your hand. Your front knee should be bent forward, while your back knee can be kept extended or slightly flexed, depending on your preference. Bring your leg back to the starting position and repeat on the other side.",
Dynamic Tuck Front Lever,/exercise/1368,https://app.strength.muscleandmotion.com/exercise/1368,Latissimus Dorsi; Rectus Abdominis,"Teres Major; Triceps Brachii, Long Head; Posterior Deltoid; Pectoralis Major; Abdominal Muscles; External Oblique; Internal Oblique",Iliacus; Psoas Major; Sartorius; Tensor Fasciae Latae; Trapezius; Rhomboid Muscles,"The Dynamic Tuck Front Lever is a variation of the front lever exercise where instead of statically holding the position, you continuously move into and out of a tuck front lever position. Begin by grabbing the bar with an overhand grip. Then, flex your hips and knees, lifting your legs and hips upward while leaning backward. In this movement, your back should be rounded, and your body should be tucked into as tight of a ball as possible, keeping your torso and legs compact. Aim to have your back approximately parallel to the ground. Once you've achieved the tuck front lever position, quickly return to the starting position and repeat for your desired number of repetitions.",
Eccentric Biceps Curl (Resistance Band),/exercise/711,https://app.strength.muscleandmotion.com/exercise/711,Biceps Brachii,Brachialis; Brachioradialis,Erector Spinae; Trapezius; Transversus Abdominis,"Flex your elbow, take one step backward and stretch the band. Extend the elbow slowly (between 3-5 sec) and return to the starting position. The eccentric emphasis training method provides a unique external load methodology by slowing the lowering or eccentric-loading phase of an exercise. As a training stimulus, this increase in the time under tension elicits changes in the muscles that improve their strength, function, and size (Schoenfeld, 2010).",Resistance Band
